name,oauth_provider_id,token_provider_id,display_name,uri,type,format,priority,authority,active,scopes
"esri.routing","agol",,"Esri Premium Routing Service","https://route.arcgis.com/arcgis/rest/services/World/Route/NAServer/Route_World","route","esri_network_service",1,"esri_com",1,"route.information"
"esri.geometry",,,"Esri Geometry Service","https://tasks.arcgisonline.com/ArcGIS/rest/services/Geometry/GeometryServer","geometry","esri_geometry_service",1,"esri_com",1,"geometry.services"
"esri.county.boundaries",,,"Esri County Boundaries","https://services.arcgis.com/BG6nSlhZSAWtExvp/arcgis/rest/services/counties_MN/FeatureServer/0","county.boundaries","esri_feature_service",1,"esri_com",1,"county.boundaries"
"city.boundaries",,,"City Boundaries","https://services.arcgis.com/pEosvuftL1Kgj1UF/ArcGIS/rest/services/Minnesota_Cities/FeatureServer/0","city.boundaries","esri_feature_service",1,"upp_mja_mn",1,"city.boundaries"
"bridges",,"agol","Bridges","https://services.arcgis.com/pEosvuftL1Kgj1UF/arcgis/rest/services/Minnesota_Bridges/FeatureServer","bridges","esri_feature_service",1,"upp_mja_mn",1,"bridges"
