authority_identifier,authority_name,county
bigfork_twp_mn,Bigfork,Itasca
birch_twp_mn,Birch,Beltrami
birch-cooley_twp_mn,Birch Cooley,Renville
birch-creek_twp_mn,Birch Creek,Pine
birch-lake_twp_mn,Birch Lake,Cass
birchdale_twp_mn,Birchdale,Todd
bird-island_twp_mn,Bird Island,Renville
bismarck_twp_mn,Bismarck,Sibley
biwabik_twp_mn,Biwabik,St. Louis
black-hammer_twp_mn,Black Hammer,Houston
black-river_twp_mn,Black River,Pennington
blackberry_twp_mn,Blackberry,Itasca
blackhoof_twp_mn,Blackhoof,Carlton
blakeley_twp_mn,Blakeley,Scott
blind-lake_twp_mn,Blind Lake,Cass
bloom_twp_mn,Bloom,Nobles
bloomer_twp_mn,Bloomer,Marshall
bloomfield_twp_mn,Bloomfield,Fillmore
blooming-grove_twp_mn,Blooming Grove,Waseca
blooming-prairie_twp_mn,Blooming Prairie,Steele
blowers_twp_mn,Blowers,Otter Tail
blue-earth-city_twp_mn,Blue Earth City,Faribault
blue-hill_twp_mn,Blue Hill,Sherburne
blue-mounds_twp_mn,Blue Mounds,Pope
blueberry_twp_mn,Blueberry,Wadena
bluffton_twp_mn,Bluffton,Otter Tail
bogus-brook_twp_mn,Bogus Brook,Mille Lacs
bondin_twp_mn,Bondin,Murray
boon-lake_twp_mn,Boon Lake,Renville
borgholm_twp_mn,Borgholm,Mille Lacs
bowstring_twp_mn,Bowstring,Itasca
boxville_twp_mn,Boxville,Marshall
boy-lake_twp_mn,Boy Lake,Cass
boy-river_twp_mn,Boy River,Cass
bradbury_twp_mn,Bradbury,Mille Lacs
bradford/isanti_twp_mn,Bradford,Isanti
bradford/wilkin_twp_mn,Bradford,Wilkin
brandon_twp_mn,Brandon,Douglas
brandrup_twp_mn,Brandrup,Wilkin
brandsvold_twp_mn,Brandsvold,Polk
brandt_twp_mn,Brandt,Polk
bray_twp_mn,Bray,Pennington
breckenridge_twp_mn,Breckenridge,Wilkin
breitung_twp_mn,Breitung,St. Louis
bremen_twp_mn,Bremen,Pine
brevator_twp_mn,Brevator,St. Louis
bridgewater_twp_mn,Bridgewater,Rice
brighton_twp_mn,Brighton,Nicollet
brislet_twp_mn,Brislet,Polk
bristol_twp_mn,Bristol,Fillmore
brockway_twp_mn,Brockway,Stearns
brook-park_twp_mn,Brook Park,Pine
brookfield_twp_mn,Brookfield,Renville
brookville_twp_mn,Brookville,Redwood
browns-creek_twp_mn,Browns Creek,Red Lake
browns-valley_twp_mn,Browns Valley,Big Stone
brownsville_twp_mn,Brownsville,Houston
bruce_twp_mn,Bruce,Todd
bruno_twp_mn,Bruno,Pine
brunswick_twp_mn,Brunswick,Kanabec
brush-creek_twp_mn,Brush Creek,Faribault
buckman_twp_mn,Buckman,Morrison
buffalo_twp_mn,Buffalo,Wright
buh_twp_mn,Buh,Morrison
bull-moose_twp_mn,Bull Moose,Cass
bullard_twp_mn,Bullard,Wadena
bungo_twp_mn,Bungo,Cass
burbank_twp_mn,Burbank,Kandiyohi
burke_twp_mn,Burke,Pipestone
burleene_twp_mn,Burleene,Todd
burlington_twp_mn,Burlington,Becker
burnhamville_twp_mn,Burnhamville,Todd
burnstown_twp_mn,Burnstown,Brown
burton_twp_mn,Burton,Yellow Medicine
buse_twp_mn,Buse,Otter Tail
butler_twp_mn,Butler,Otter Tail
butterfield_twp_mn,Butterfield,Watonwan
butternut-valley_twp_mn,Butternut Valley,Blue Earth
buzzle_twp_mn,Buzzle,Beltrami
bygland_twp_mn,Bygland,Polk
byron/cass_twp_mn,Byron,Cass
byron/waseca_twp_mn,Byron,Waseca
cairo_twp_mn,Cairo,Renville
caledonia_twp_mn,Caledonia,Houston
callaway_twp_mn,Callaway,Becker
cambria_twp_mn,Cambria,Blue Earth
cambridge_twp_mn,Cambridge,Isanti
camden_twp_mn,Camden,Carver
cameron_twp_mn,Cameron,Murray
camp_twp_mn,Camp,Renville
camp-5_twp_mn,Camp 5,St. Louis
camp-lake_twp_mn,Camp Lake,Swift
camp-release_twp_mn,Camp Release,Lac qui Parle
campbell_twp_mn,Campbell,Wilkin
candor_twp_mn,Candor,Otter Tail
canisteo_twp_mn,Canisteo,Dodge
cannon_twp_mn,Cannon,Kittson
cannon-city_twp_mn,Cannon City,Rice
cannon-falls_twp_mn,Cannon Falls,Goodhue
canosia_twp_mn,Canosia,St. Louis
canton_twp_mn,Canton,Fillmore
caribou_twp_mn,Caribou,Kittson
carimona_twp_mn,Carimona,Fillmore
carlisle_twp_mn,Carlisle,Otter Tail
carlos_twp_mn,Carlos,Douglas
carlston_twp_mn,Carlston,Freeborn
carpenter_twp_mn,Carpenter,Itasca
carrolton_twp_mn,Carrolton,Fillmore
carson_twp_mn,Carson,Cottonwood
carsonville_twp_mn,Carsonville,Becker
cascade_twp_mn,Cascade,Olmsted
cashel_twp_mn,Cashel,Swift
castle-rock_twp_mn,Castle Rock,Dakota
cedar/marshall_twp_mn,Cedar,Marshall
cedar/martin_twp_mn,Cedar,Martin
cedar-lake_twp_mn,Cedar Lake,Scott
cedar-mills_twp_mn,Cedar Mills,Meeker
cedar-valley_twp_mn,Cedar Valley,St. Louis
cedarbend_twp_mn,Cedarbend,Roseau
center_twp_mn,Center,Crow Wing
center-creek_twp_mn,Center Creek,Martin
ceresco_twp_mn,Ceresco,Blue Earth
cerro-gordo_twp_mn,Cerro Gordo,Lac qui Parle
champion_twp_mn,Champion,Wilkin
