authority_identifier,authority_name
woodland_cty_mn,Woodland
woodstock_cty_mn,Woodstock
worthington_cty_mn,Worthington
wrenshall_cty_mn,Wrenshall
wright_cty_mn,Wright
wykoff_cty_mn,Wykoff
wyoming_cty_mn,Wyoming
zemple_cty_mn,Zemple
zimmerman_cty_mn,Zimmerman
zumbro-falls_cty_mn,Zumbro Falls
zumbrota_cty_mn,Zumbrota
